product_id,product_name,category,sub_category,brand,cost_price,selling_price
1000,Product_0,Sports,Cosmetics,Adidas,527.92,616.8195044634394
1001,Product_1,Beauty,Furniture,Sony,785.43,938.9047330115245
1002,Product_2,Home,Mobile,Samsung,727.52,857.9422906691381
1003,Product_3,Beauty,Cosmetics,Apple,535.0,708.8359867605269
1004,Product_4,Beauty,Fitness,Sony,569.88,799.0052005180304
1005,Product_5,Clothing,Shoes,LG,88.7,309.0374539877968
1006,Product_6,Home,Shoes,Adidas,552.44,718.3855570958937
1007,Product_7,Home,Mobile,LG,83.12,333.3901572687763
1008,Product_8,Home,Furniture,Samsung,491.2,631.8413856306493
1009,Product_9,Beauty,Furniture,Sony,799.52,1070.6000011552342
1010,Product_10,Sports,Fitness,Sony,466.85,506.8084756154459
1011,Product_11,Home,Mobile,Sony,404.91,692.2148084093261
1012,Product_12,Beauty,Shoes,Samsung,284.64,487.9540628007775
1013,Product_13,Clothing,Furniture,Samsung,140.39,266.8108625024175
1014,Product_14,Sports,Mobile,LG,598.27,673.4731554404057
1015,Product_15,Clothing,Furniture,Nike,194.45,348.621304244208
1016,Product_16,Sports,Cosmetics,LG,136.46,210.9363304918843
1017,Product_17,Beauty,Furniture,Adidas,366.32,432.8928501680798
1018,Product_18,Electronics,Shoes,Apple,646.51,839.3684920756327
1019,Product_19,Sports,Laptop,Sony,608.8,775.2637228828996
1020,Product_20,Clothing,Fitness,Nike,91.16,298.78688969106366
1021,Product_21,Beauty,Fitness,Apple,391.36,671.649645678157
1022,Product_22,Sports,Shoes,Nike,441.83,610.8628597349312
1023,Product_23,Electronics,Furniture,Puma,533.41,716.0709749135833
1024,Product_24,Electronics,Mobile,LG,537.63,582.7253749633837
1025,Product_25,Home,Furniture,Samsung,323.52,544.4580200544162
1026,Product_26,Home,Shoes,Sony,470.51,602.4834579051637
1027,Product_27,Clothing,Fitness,LG,410.8,704.2830668255222
1028,Product_28,Sports,Furniture,Apple,713.75,964.2387243667849
1029,Product_29,Sports,Fitness,Puma,447.7,613.9946913445131
1030,Product_30,Home,Mobile,Puma,380.77,435.2723431682065
1031,Product_31,Sports,Fitness,Puma,353.36,613.996422118565
1032,Product_32,Sports,Fitness,Apple,479.32,723.258706718726
1033,Product_33,Electronics,Laptop,Apple,652.98,724.6638362703693
1034,Product_34,Home,Laptop,Apple,453.8,556.4779209816868
1035,Product_35,Beauty,Cosmetics,Apple,546.24,788.3940322813944
1036,Product_36,Home,Laptop,Puma,603.39,675.2539650332747
1037,Product_37,Beauty,Fitness,Puma,440.13,717.1006969679856
1038,Product_38,Electronics,Shoes,Nike,370.11,508.9776790549813
1039,Product_39,Clothing,Fitness,LG,707.5,751.8709095245445
1040,Product_40,Sports,Shoes,Sony,363.13,611.5396201811986
1041,Product_41,Electronics,Shoes,Samsung,396.46,521.0427112507485
1042,Product_42,Sports,Laptop,Puma,792.76,960.1797743630586
1043,Product_43,Clothing,Furniture,Samsung,50.18,40.18
1044,Product_44,Clothing,Mobile,LG,189.1,209.82352415659506
1045,Product_45,Electronics,Laptop,LG,337.97,536.6058576221234
1046,Product_46,Clothing,Laptop,Samsung,749.44,913.6890476934449
1047,Product_47,Beauty,Furniture,Puma,102.52,288.7107993544812
1048,Product_48,Clothing,Mobile,Samsung,57.11,299.35827810654456
1049,Product_49,Sports,Fitness,Nike,89.51,290.5596557584008
1050,Product_50,Sports,Cosmetics,Adidas,116.41,185.34656399166562
1051,Product_51,Sports,Cosmetics,Puma,78.2,199.21630535096796
1052,Product_52,Sports,Fitness,Puma,409.84,683.4895093405728
1053,Product_53,Beauty,Laptop,Sony,485.57,721.1545160704701
1054,Product_54,Home,Mobile,Apple,253.77,429.62837622228085
1055,Product_55,Electronics,Laptop,Adidas,348.72,440.3005993865963
1056,Product_56,Sports,Shoes,LG,118.77,223.3469405137426
1057,Product_57,Clothing,Laptop,Puma,302.28,527.2282589239776
1058,Product_58,Sports,Laptop,Samsung,441.89,700.2187930387759
1059,Product_59,Clothing,Fitness,Adidas,599.2,807.1989074685721
1060,Product_60,Clothing,Fitness,Sony,52.51,299.1783932151637
1061,Product_61,Sports,Fitness,LG,400.48,635.1437178561137
1062,Product_62,Beauty,Cosmetics,Apple,272.75,334.6671110279482
1063,Product_63,Clothing,Shoes,Apple,689.62,828.3245476157246
1064,Product_64,Clothing,Fitness,Sony,586.66,649.4954642319975
1065,Product_65,Sports,Mobile,Sony,491.83,577.6959637445557
1066,Product_66,Clothing,Cosmetics,Samsung,257.95,521.3426949022946
1067,Product_67,Clothing,Furniture,Puma,732.75,885.159750377291
1068,Product_68,Sports,Mobile,Apple,83.83,253.73026851594506
1069,Product_69,Sports,Mobile,LG,132.1,122.1
1070,Product_70,Electronics,Fitness,Adidas,343.72,451.15610009366293
1071,Product_71,Beauty,Furniture,LG,143.33,227.7989271598036
1072,Product_72,Beauty,Furniture,Nike,767.31,845.0421260651593
